NAME        , MIN         , MED         , MEAN        , MAX         , STD         , COEFF.VAR   
T_12        , 7.36e+05    , 9.66e+05    , 1.08e+06    , 1.5e+06     , 2.34e+05    , 2.16e-01    
T_K         , 1.00e+05    , 2.16e+05    , 2.04e+05    , 3.e+05      , 5.25e+04    , 2.57e-01    
T_Y         , 5.00e+04    , 8.64e+04    , 9.31e+04    , 2.e+05      , 3.16e+04    , 3.39e-01    
T_H         , 3.00e+04    , 4.10e+04    , 4.32e+04    , 6.78e+04    , 8.9e+03     , 2.06e-01    
N_1         , 4.27e+03    , 1.00e+04    , 9.75e+03    , 1.45e+04    , 2.72e+03    , 2.79e-01    
N_2         , 6.33e+03    , 1.47e+04    , 1.73e+04    , 4.e+04      , 8.70e+03    , 5.02e-01    
N_K0        , 1.53e+04    , 5.e+04      , 4.46e+04    , 5.e+04      , 1.01e+04    , 2.26e-01    
N_K1        , 9.21e+03    , 2.75e+04    , 2.84e+04    , 5.92e+04    , 1.18e+04    , 4.17e-01    
N_Y0        , 2.55e+03    , 1.56e+04    , 2.25e+04    , 5.e+04      , 1.83e+04    , 8.14e-01    
N_Y1        , 2.38e+04    , 9.02e+04    , 8.07e+04    , 1.e+05      , 2.12e+04    , 2.63e-01    
N_H0        , 2.38e+02    , 3.87e+02    , 4.88e+02    , 1.12e+03    , 2.18e+02    , 4.47e-01    
N_H1        , 4.02e+03    , 3.19e+04    , 3.53e+04    , 1.e+05      , 2.39e+04    , 6.77e-01    
f_K         , 1.6e-01     , 5.27e-01    , 5.04e-01    , 7.46e-01    , 1.28e-01    , 2.53e-01    
f_Y         , 1.16e-01    , 5.28e-01    , 5.02e-01    , 7.54e-01    , 1.33e-01    , 2.65e-01    
m_12        , 1.00e-07    , 1.00e-07    , 9.41e-06    , 1.e-04      , 2.57e-05    , 2.73e+00    
