[24-10-31 14:55:11] fitting objective_H2 to data for demes ['French', 'KhomaniSan', 'Yoruba']
[24-10-31 14:55:11] 0        pnames [         NK       NFY       TFY        NF        NY ]
[24-10-31 14:55:11] 0            p0 [    20827.2   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:11] 1     -22854.95 [    20827.2   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:12] 2     -22854.95 [    20827.2   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:12] 3     -22854.96 [    20828.2   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:12] 4     -22854.93 [    20825.6   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:12] 5     -22853.01 [    20649.3   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:13] 6     -22846.95 [    19202.4   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:13] 7     -22890.29 [    16861.3   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:13] 8     -22854.06 [    18308.2   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:13] 9     -22847.02 [    19755.0   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:13] 10     -22846.6 [    19466.6   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:14] 11     -22846.6 [    19453.0   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:14] 12     -22846.6 [    19480.2   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:14] 13     -22846.6 [    19466.6   16284.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:14] 14    -22846.73 [    19466.6   16285.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:15] 15    -22846.38 [    19466.6   16283.1   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:15] 16    -22823.01 [    19466.6   16106.8   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:15] 17    -22936.68 [    19466.6   11103.8   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:15] 18    -22640.74 [    19466.6   14195.8   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:16] 19    -22630.51 [    19466.6   13014.7   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:16] 20    -22621.66 [    19466.6   13451.0   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:16] 21    -22621.66 [    19466.6   13494.0   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:16] 22    -22621.74 [    19466.6   13422.6   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:17] 23    -22621.66 [    19466.6   13451.0   82285.3    4689.0   15220.8 ]
[24-10-31 14:55:17] 24    -22621.72 [    19466.6   13451.0   82286.3    4689.0   15220.8 ]
[24-10-31 14:55:17] 25    -22621.56 [    19466.6   13451.0   82283.7    4689.0   15220.8 ]
[24-10-31 14:55:17] 26    -22611.15 [    19466.6   13451.0   82107.3    4689.0   15220.8 ]
[24-10-31 14:55:17] 27    -21834.87 [    19466.6   13451.0   62883.4    4689.0   15220.8 ]
[24-10-31 14:55:18] 28    -21715.22 [    19466.6   13451.0   51488.4    4689.0   15220.8 ]
[24-10-31 14:55:18] 30    -21770.61 [    19466.6   13451.0   44445.9    4689.0   15220.8 ]
[24-10-31 14:55:18] 31    -21730.58 [    19466.6   13451.0   55840.9    4689.0   15220.8 ]
[24-10-31 14:55:18] 32    -21715.05 [    19466.6   13451.0   51899.8    4689.0   15220.8 ]
[24-10-31 14:55:19] 33    -21715.15 [    19466.6   13451.0   52203.6    4689.0   15220.8 ]
[24-10-31 14:55:19] 34    -21715.05 [    19466.6   13451.0   51899.8    4689.0   15220.8 ]
[24-10-31 14:55:19] 35    -21715.39 [    19466.6   13451.0   51899.8    4690.0   15220.8 ]
[24-10-31 14:55:19] 36    -21714.51 [    19466.6   13451.0   51899.8    4687.3   15220.8 ]
[24-10-31 14:55:19] 37    -21657.46 [    19466.6   13451.0   51899.8    4511.0   15220.8 ]
[24-10-31 14:55:20] 38    -22774.97 [    19466.6   13451.0   51899.8    2151.9   15220.8 ]
[24-10-31 14:55:20] 39    -21482.24 [    19466.6   13451.0   51899.8    3609.9   15220.8 ]
[24-10-31 14:55:20] 40    -21586.48 [    19466.6   13451.0   51899.8    3053.0   15220.8 ]
[24-10-31 14:55:20] 41    -21485.42 [    19466.6   13451.0   51899.8    3689.0   15220.8 ]
[24-10-31 14:55:21] 42    -21482.01 [    19466.6   13451.0   51899.8    3593.3   15220.8 ]
[24-10-31 14:55:21] 43    -21481.94 [    19466.6   13451.0   51899.8    3576.5   15220.8 ]
[24-10-31 14:55:21] 44    -21481.99 [    19466.6   13451.0   51899.8    3565.4   15220.8 ]
[24-10-31 14:55:21] 45    -21481.94 [    19466.6   13451.0   51899.8    3576.5   15220.8 ]
[24-10-31 14:55:22] 46    -21481.76 [    19466.6   13451.0   51899.8    3576.5   15221.8 ]
[24-10-31 14:55:22] 47    -21481.47 [    19466.6   13451.0   51899.8    3576.5   15223.5 ]
[24-10-31 14:55:22] 48    -21449.79 [    19466.6   13451.0   51899.8    3576.5   15399.8 ]
[24-10-31 14:55:22] 49    -20747.92 [    19466.6   13451.0   51899.8    3576.5   21340.1 ]
[24-10-31 14:55:23] 50    -20270.06 [    19466.6   13451.0   51899.8    3576.5   30951.6 ]
[24-10-31 14:55:23] 51     -20244.5 [    19466.6   13451.0   51899.8    3576.5   31794.5 ]
[24-10-31 14:55:23] 52    -20206.44 [    19466.6   13451.0   51899.8    3576.5   33158.2 ]
[24-10-31 14:55:23] 53    -19985.59 [    19466.6   13451.0   51899.8    3576.5   45173.1 ]
[24-10-31 14:55:24] 56    -20051.68 [    19466.6   13451.0   51899.8    3576.5   40583.8 ]
[24-10-31 14:55:24] 57    -20016.54 [    19466.6   13451.0   51899.8    3576.5   42878.4 ]
[24-10-31 14:55:24] 58    -19952.09 [    19466.6   13451.0   51899.8    3576.5   48009.4 ]
[24-10-31 14:55:24] 59    -19933.62 [    19466.6   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:24] 61    -19940.49 [    19466.6   13451.0   51899.8    3576.5   49092.8 ]
[24-10-31 14:55:25] 64    -19933.62 [    19466.6   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:25] 65     -19933.6 [    19467.6   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:25] 66    -19933.56 [    19469.2   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:25] 67    -19929.98 [    19645.6   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:26] 68    -19912.08 [    21267.0   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:26] 69    -19923.75 [    23890.4   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:26] 70    -19911.81 [    22269.0   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:26] 71     -19914.8 [    22888.3   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:27] 72    -19911.08 [    21809.9   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:27] 73    -19911.08 [    21786.4   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:27] 74    -19911.08 [    21763.2   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:27] 75    -19911.08 [    21786.4   13451.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:27] 76    -19910.83 [    21786.4   13452.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:28] 77    -19910.42 [    21786.4   13453.6   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:28] 78    -19868.74 [    21786.4   13630.0   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:28] 79    -19690.61 [    21786.4   14994.8   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:28] 80    -19765.55 [    21786.4   17203.1   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:29] 81    -19678.68 [    21786.4   15838.3   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:29] 82    -19698.67 [    21786.4   16359.6   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:29] 83    -19676.02 [    21786.4   15600.4   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:29] 84     -19676.0 [    21786.4   15578.9   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:30] 85    -19676.02 [    21786.4   15557.6   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:30] 86     -19676.0 [    21786.4   15578.9   51899.8    3576.5   49762.3 ]
[24-10-31 14:55:30] 87    -19676.01 [    21786.4   15578.9   51900.8    3576.5   49762.3 ]
[24-10-31 14:55:30] 88    -19675.99 [    21786.4   15578.9   51898.1    3576.5   49762.3 ]
[24-10-31 14:55:31] 89    -19674.62 [    21786.4   15578.9   51721.8    3576.5   49762.3 ]
[24-10-31 14:55:31] 90    -19665.21 [    21786.4   15578.9   49184.9    3576.5   49762.3 ]
[24-10-31 14:55:31] 91    -19691.55 [    21786.4   15578.9   45080.0    3576.5   49762.3 ]
[24-10-31 14:55:31] 92    -19669.12 [    21786.4   15578.9   47616.9    3576.5   49762.3 ]
[24-10-31 14:55:31] 93    -19666.52 [    21786.4   15578.9   50153.9    3576.5   49762.3 ]
[24-10-31 14:55:32] 94     -19665.2 [    21786.4   15578.9   49221.8    3576.5   49762.3 ]
[24-10-31 14:55:32] 95     -19665.2 [    21786.4   15578.9   49248.6    3576.5   49762.3 ]
[24-10-31 14:55:32] 96     -19665.2 [    21786.4   15578.9   49221.8    3576.5   49762.3 ]
[24-10-31 14:55:32] 97    -19665.28 [    21786.4   15578.9   49221.8    3577.5   49762.3 ]
[24-10-31 14:55:33] 98    -19665.08 [    21786.4   15578.9   49221.8    3574.9   49762.3 ]
[24-10-31 14:55:33] 99     -19660.2 [    21786.4   15578.9   49221.8    3437.1   49762.3 ]
[24-10-31 14:55:33] 100   -19680.58 [    21786.4   15578.9   49221.8    3214.2   49762.3 ]
[24-10-31 14:55:33] 101   -19663.42 [    21786.4   15578.9   49221.8    3352.0   49762.3 ]
[24-10-31 14:55:34] 102   -19660.69 [    21786.4   15578.9   49221.8    3489.7   49762.3 ]
[24-10-31 14:55:34] 103   -19660.16 [    21786.4   15578.9   49221.8    3449.9   49762.3 ]
[24-10-31 14:55:34] 104   -19660.16 [    21786.4   15578.9   49221.8    3448.7   49762.3 ]
[24-10-31 14:55:34] 105   -19660.16 [    21786.4   15578.9   49221.8    3447.4   49762.3 ]
[24-10-31 14:55:35] 106   -19660.16 [    21786.4   15578.9   49221.8    3448.7   49762.3 ]
[24-10-31 14:55:35] 107   -19660.15 [    21786.4   15578.9   49221.8    3448.7   49763.3 ]
[24-10-31 14:55:35] 108   -19660.13 [    21786.4   15578.9   49221.8    3448.7   49764.9 ]
[24-10-31 14:55:35] 109   -19658.57 [    21786.4   15578.9   49221.8    3448.7   49941.3 ]
[24-10-31 14:55:35] 116   -19659.17 [    21786.4   15578.9   49221.8    3448.7   49873.9 ]
[24-10-31 14:55:36] 117   -19658.87 [    21786.4   15578.9   49221.8    3448.7   49907.6 ]
[24-10-31 14:55:36] 119   -19658.37 [    21786.4   15578.9   49221.8    3448.7   49964.1 ]
[24-10-31 14:55:36] 120   -19658.25 [    21786.4   15578.9   49221.8    3448.7   49978.2 ]
[24-10-31 14:55:36] 121   -19658.17 [    21786.4   15578.9   49221.8    3448.7   49986.9 ]
[24-10-31 14:55:37] 122   -19658.12 [    21786.4   15578.9   49221.8    3448.7   49992.3 ]
[24-10-31 14:55:37] 123   -19658.09 [    21786.4   15578.9   49221.8    3448.7   49995.6 ]
[24-10-31 14:55:37] 124   -19658.07 [    21786.4   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:37] 126   -19658.07 [    21786.4   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:38] 127   -19658.05 [    21787.4   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:38] 128   -19658.01 [    21789.1   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:38] 129   -19654.28 [    21965.4   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:38] 130   -19625.39 [    24374.3   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:39] 131   -19635.11 [    28272.0   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:39] 132   -19622.99 [    25863.1   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:39] 133   -19625.67 [    26783.2   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:39] 134   -19622.75 [    25547.0   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:39] 135   -19622.74 [    25509.4   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:40] 136   -19622.74 [    25472.1   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:40] 137   -19622.74 [    25509.4   15578.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:40] 138   -19622.69 [    25509.4   15579.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:40] 139    -19622.6 [    25509.4   15581.5   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:41] 140   -19614.46 [    25509.4   15757.9   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:41] 141    -19605.3 [    25509.4   16195.2   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:41] 142   -19619.45 [    25509.4   16902.7   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:41] 143    -19606.8 [    25509.4   16465.4   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:42] 144   -19607.03 [    25509.4   16028.1   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:42] 145   -19605.19 [    25509.4   16254.0   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:42] 146   -19605.19 [    25509.4   16247.3   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:42] 147   -19605.19 [    25509.4   16260.8   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:42] 148   -19605.19 [    25509.4   16254.0   49221.8    3448.7   49998.0 ]
[24-10-31 14:55:43] 149   -19605.19 [    25509.4   16254.0   49222.8    3448.7   49998.0 ]
[24-10-31 14:55:43] 150   -19605.18 [    25509.4   16254.0   49220.2    3448.7   49998.0 ]
[24-10-31 14:55:43] 151   -19604.51 [    25509.4   16254.0   49043.8    3448.7   49998.0 ]
[24-10-31 14:55:43] 152   -19602.59 [    25509.4   16254.0   47941.4    3448.7   49998.0 ]
[24-10-31 14:55:44] 153   -19607.81 [    25509.4   16254.0   46157.7    3448.7   49998.0 ]
[24-10-31 14:55:44] 154   -19603.36 [    25509.4   16254.0   47260.1    3448.7   49998.0 ]
[24-10-31 14:55:44] 155   -19602.86 [    25509.4   16254.0   48362.5    3448.7   49998.0 ]
[24-10-31 14:55:44] 156   -19602.59 [    25509.4   16254.0   47954.3    3448.7   49998.0 ]
[24-10-31 14:55:45] 157   -19602.59 [    25509.4   16254.0   47966.9    3448.7   49998.0 ]
[24-10-31 14:55:45] 158   -19602.59 [    25509.4   16254.0   47954.3    3448.7   49998.0 ]
[24-10-31 14:55:45] 159   -19602.69 [    25509.4   16254.0   47954.3    3449.7   49998.0 ]
[24-10-31 14:55:45] 160   -19602.43 [    25509.4   16254.0   47954.3    3447.1   49998.0 ]
[24-10-31 14:55:45] 161   -19595.04 [    25509.4   16254.0   47954.3    3283.0   49998.0 ]
[24-10-31 14:55:46] 162    -19629.4 [    25509.4   16254.0   47954.3    3017.5   49998.0 ]
[24-10-31 14:55:46] 163   -19600.51 [    25509.4   16254.0   47954.3    3181.6   49998.0 ]
[24-10-31 14:55:46] 164   -19595.68 [    25509.4   16254.0   47954.3    3345.7   49998.0 ]
[24-10-31 14:55:46] 165   -19594.93 [    25509.4   16254.0   47954.3    3301.3   49998.0 ]
[24-10-31 14:55:47] 166   -19594.93 [    25509.4   16254.0   47954.3    3299.8   49998.0 ]
[24-10-31 14:55:47] 167   -19594.93 [    25509.4   16254.0   47954.3    3298.3   49998.0 ]
[24-10-31 14:55:47] 168   -19594.93 [    25509.4   16254.0   47954.3    3299.8   49998.0 ]
[24-10-31 14:55:47] 169   -19594.92 [    25509.4   16254.0   47954.3    3299.8   49999.0 ]
[24-10-31 14:55:48] 171   -19594.91 [    25509.4   16254.0   47954.3    3299.8   49999.6 ]
[24-10-31 14:55:48] 172   -19594.91 [    25509.4   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:48] 174   -19594.91 [    25509.4   16254.0   47954.3    3299.8   49999.8 ]
[24-10-31 14:55:48] 176   -19594.91 [    25509.4   16254.0   47954.3    3299.8   49999.9 ]
[24-10-31 14:55:49] 177   -19594.91 [    25509.4   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:49] 180   -19594.91 [    25509.4   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:49] 181    -19594.9 [    25510.4   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:49] 182    -19594.9 [    25512.0   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:49] 183   -19594.21 [    25688.3   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:50] 184   -19592.56 [    26549.8   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:50] 185   -19595.02 [    27943.6   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:50] 186   -19592.82 [    27082.2   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:50] 187   -19592.87 [    26220.7   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:51] 188   -19592.53 [    26668.9   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:51] 189   -19592.53 [    26657.3   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:51] 190   -19592.54 [    26645.8   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:51] 191   -19592.53 [    26657.3   16254.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:52] 192   -19592.51 [    26657.3   16255.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:52] 193   -19592.48 [    26657.3   16256.7   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:52] 194   -19589.64 [    26657.3   16433.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:52] 195   -19588.97 [    26657.3   16562.1   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:53] 196    -19590.3 [    26657.3   16770.9   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:53] 197   -19589.14 [    26657.3   16641.8   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:53] 198   -19589.09 [    26657.3   16512.8   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:53] 199   -19588.97 [    26657.3   16572.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:53] 200   -19588.97 [    26657.3   16568.8   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:54] 201   -19588.97 [    26657.3   16575.2   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:54] 202   -19588.97 [    26657.3   16572.0   47954.3    3299.8   50000.0 ]
[24-10-31 14:55:54] 203   -19588.98 [    26657.3   16572.0   47955.3    3299.8   50000.0 ]
[24-10-31 14:55:54] 204   -19588.96 [    26657.3   16572.0   47952.6    3299.8   50000.0 ]
[24-10-31 14:55:55] 205   -19587.92 [    26657.3   16572.0   47776.3    3299.8   50000.0 ]
[24-10-31 14:55:55] 206   -19583.38 [    26657.3   16572.0   46132.4    3299.8   50000.0 ]
[24-10-31 14:55:55] 207   -19595.99 [    26657.3   16572.0   43472.5    3299.8   50000.0 ]
[24-10-31 14:55:55] 208   -19585.25 [    26657.3   16572.0   45116.4    3299.8   50000.0 ]
[24-10-31 14:55:56] 209   -19584.01 [    26657.3   16572.0   46760.3    3299.8   50000.0 ]
[24-10-31 14:55:56] 210   -19583.37 [    26657.3   16572.0   46153.5    3299.8   50000.0 ]
[24-10-31 14:55:56] 211   -19583.38 [    26657.3   16572.0   46171.5    3299.8   50000.0 ]
[24-10-31 14:55:56] 212   -19583.37 [    26657.3   16572.0   46153.5    3299.8   50000.0 ]
[24-10-31 14:55:56] 213   -19583.47 [    26657.3   16572.0   46153.5    3300.8   50000.0 ]
[24-10-31 14:55:57] 214   -19583.22 [    26657.3   16572.0   46153.5    3298.2   50000.0 ]
[24-10-31 14:55:57] 215   -19576.73 [    26657.3   16572.0   46153.5    3152.6   50000.0 ]
[24-10-31 14:55:57] 216   -19605.67 [    26657.3   16572.0   46153.5    2917.1   50000.0 ]
[24-10-31 14:55:57] 217   -19581.33 [    26657.3   16572.0   46153.5    3062.6   50000.0 ]
[24-10-31 14:55:58] 218   -19577.32 [    26657.3   16572.0   46153.5    3208.2   50000.0 ]
[24-10-31 14:55:58] 219   -19576.65 [    26657.3   16572.0   46153.5    3167.8   50000.0 ]
[24-10-31 14:55:58] 220   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:55:58] 221   -19576.65 [    26657.3   16572.0   46153.5    3165.2   50000.0 ]
[24-10-31 14:55:59] 222   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
[24-10-31 14:55:59] 224   -19576.66 [    26657.3   16572.0   46153.5    3166.5   49998.4 ]
[24-10-31 14:55:59] 225   -19576.65 [    26657.3   16572.0   46153.5    3166.5   49999.4 ]
[24-10-31 14:55:59] 227   -19576.65 [    26657.3   16572.0   46153.5    3166.5   49999.7 ]
[24-10-31 14:56:00] 229   -19576.65 [    26657.3   16572.0   46153.5    3166.5   49999.9 ]
[24-10-31 14:56:00] 231   -19576.65 [    26657.3   16572.0   46153.5    3166.5   49999.9 ]
[24-10-31 14:56:00] 233   -19576.65 [    26657.3   16572.0   46153.5    3166.5   50000.0 ]
