[24-11-01 23:54:13] fitting objective_H2 to data for demes ['Altai', 'Chagyrskaya', 'Denisova', 'Vindija']
[24-11-01 23:54:13] 0        pnames [        NND       TND        ND        NN        TN        NA       TCV        NC        NV      mACV       mCV       mAD ]
[24-11-01 23:54:13] 0            p0 [     7138.5  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:15] 1     -49630.09 [     7138.5  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:16] 2     -49630.09 [     7138.5  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:18] 3     -49622.33 [     7139.5  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:19] 4     -49609.78 [     7141.1  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:20] 5     -48270.94 [     7317.5  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:22] 6      -28953.5 [    11294.9  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:23] 7     -17627.09 [    17730.5  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:25] 8     -17878.25 [    17471.7  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:26] 9     -12635.42 [    28143.6  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:28] 10    -13134.28 [    26090.6  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:29] 11    -11231.43 [    44992.2  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:30] 12    -11401.14 [    39436.0  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:32] 15    -11444.18 [    38556.6  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:33] 16    -11310.75 [    41774.4  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:35] 17    -11190.88 [    48100.6  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:36] 19     -11194.6 [    47691.0  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:38] 20     -11183.2 [    49166.4  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:39] 21    -11179.78 [    49825.0  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
[24-11-01 23:54:40] 23    -11179.78 [    49825.0  566561.7    2482.9    3392.3  158552.2    1393.2  150270.3    1251.7     755.2  1.12e-04  7.72e-05  1.23e-05 ]
