[24-11-01 12:21:04] fitting objective_H2 to data for demes ['KhomaniSan', 'Yoruba']
[24-11-01 12:21:04] 0        pnames [        NA1       TA1        NK        NY ]
[24-11-01 12:21:04] 0            p0 [    39111.2  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:04] 1     -12973.76 [    39111.2  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:04] 2     -12973.76 [    39111.2  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:04] 3     -12973.47 [    39112.2  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:05] 4     -12972.99 [    39113.8  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:05] 5     -12921.05 [    39290.1  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:05] 7     -11250.65 [    46081.8  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:05] 9     -12012.39 [    42686.0  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:05] 10    -10932.79 [    47685.0  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:05] 11    -10748.02 [    48675.9  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:06] 12    -10637.98 [    49288.3  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:06] 13     -10571.5 [    49666.8  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:06] 14    -10530.97 [    49900.7  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:06] 16    -10549.61 [    49792.8  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:06] 17    -10530.97 [    49900.7  153718.6   13067.3   27097.4 ]
[24-11-01 12:21:06] 18    -10530.99 [    49900.7  153719.6   13067.3   27097.4 ]
[24-11-01 12:21:07] 19    -10530.95 [    49900.7  153717.0   13067.3   27097.4 ]
[24-11-01 12:21:07] 20    -10528.55 [    49900.7  153540.7   13067.3   27097.4 ]
[24-11-01 12:21:07] 21    -10298.36 [    49900.7  134316.8   13067.3   27097.4 ]
[24-11-01 12:21:07] 22    -10032.28 [    49900.7   73768.0   13067.3   27097.4 ]
[24-11-01 12:21:07] 25    -10045.48 [    49900.7   96895.6   13067.3   27097.4 ]
[24-11-01 12:21:07] 26    -10024.35 [    49900.7   85331.8   13067.3   27097.4 ]
[24-11-01 12:21:08] 27    -10023.56 [    49900.7   82704.9   13067.3   27097.4 ]
[24-11-01 12:21:08] 28     -10023.6 [    49900.7   81994.7   13067.3   27097.4 ]
[24-11-01 12:21:08] 29    -10023.62 [    49900.7   83415.0   13067.3   27097.4 ]
[24-11-01 12:21:08] 30    -10023.56 [    49900.7   82704.9   13067.3   27097.4 ]
[24-11-01 12:21:08] 31    -10023.28 [    49900.7   82704.9   13068.3   27097.4 ]
[24-11-01 12:21:08] 32    -10022.84 [    49900.7   82704.9   13069.9   27097.4 ]
[24-11-01 12:21:09] 33     -9975.46 [    49900.7   82704.9   13246.3   27097.4 ]
[24-11-01 12:21:09] 34     -9044.19 [    49900.7   82704.9   18522.0   27097.4 ]
[24-11-01 12:21:09] 35     -8411.59 [    49900.7   82704.9   27058.3   27097.4 ]
[24-11-01 12:21:09] 36     -8378.71 [    49900.7   82704.9   27787.3   27097.4 ]
[24-11-01 12:21:09] 37     -8329.68 [    49900.7   82704.9   28966.9   27097.4 ]
[24-11-01 12:21:09] 38     -8039.61 [    49900.7   82704.9   39568.1   27097.4 ]
[24-11-01 12:21:10] 39     -7826.47 [    49900.7   82704.9   56721.2   27097.4 ]
[24-11-01 12:21:10] 40     -7803.62 [    49900.7   82704.9   59690.1   27097.4 ]
[24-11-01 12:21:10] 41      -7771.7 [    49900.7   82704.9   64493.8   27097.4 ]
[24-11-01 12:21:10] 42     -7674.79 [    49900.7   82704.9   86697.1   27097.4 ]
[24-11-01 12:21:10] 45     -7704.54 [    49900.7   82704.9   78216.2   27097.4 ]
[24-11-01 12:21:10] 46     -7688.81 [    49900.7   82704.9   82456.6   27097.4 ]
[24-11-01 12:21:11] 47     -7659.44 [    49900.7   82704.9   91938.6   27097.4 ]
[24-11-01 12:21:11] 48     -7650.88 [    49900.7   82704.9   95178.0   27097.4 ]
[24-11-01 12:21:11] 49     -7645.91 [    49900.7   82704.9   97180.1   27097.4 ]
[24-11-01 12:21:11] 50     -7642.95 [    49900.7   82704.9   98417.4   27097.4 ]
[24-11-01 12:21:11] 51     -7640.96 [    49900.7   82704.9   99270.9   27097.4 ]
[24-11-01 12:21:11] 52     -7640.96 [    49900.7   82704.9   99270.9   27097.4 ]
[24-11-01 12:21:12] 53     -7640.99 [    49900.7   82704.9   99270.9   27098.4 ]
[24-11-01 12:21:12] 54      -7640.9 [    49900.7   82704.9   99270.9   27095.8 ]
[24-11-01 12:21:12] 55      -7640.8 [    49900.7   82704.9   99270.9   27093.2 ]
[24-11-01 12:21:12] 56     -7640.65 [    49900.7   82704.9   99270.9   27089.0 ]
[24-11-01 12:21:12] 57     -7640.41 [    49900.7   82704.9   99270.9   27082.1 ]
[24-11-01 12:21:12] 58     -7640.01 [    49900.7   82704.9   99270.9   27071.0 ]
[24-11-01 12:21:13] 59     -7639.37 [    49900.7   82704.9   99270.9   27053.1 ]
[24-11-01 12:21:13] 60     -7638.33 [    49900.7   82704.9   99270.9   27024.0 ]
[24-11-01 12:21:13] 61     -7636.65 [    49900.7   82704.9   99270.9   26977.1 ]
[24-11-01 12:21:13] 62     -7633.93 [    49900.7   82704.9   99270.9   26901.0 ]
[24-11-01 12:21:13] 63     -7629.53 [    49900.7   82704.9   99270.9   26778.1 ]
[24-11-01 12:21:13] 64     -7622.41 [    49900.7   82704.9   99270.9   26579.0 ]
[24-11-01 12:21:14] 65      -7610.9 [    49900.7   82704.9   99270.9   26257.1 ]
[24-11-01 12:21:14] 67     -7608.12 [    49900.7   82704.9   99270.9   12850.9 ]
[24-11-01 12:21:14] 68    -17801.75 [    49900.7   82704.9   99270.9    4565.5 ]
[24-11-01 12:21:14] 69     -7401.57 [    49900.7   82704.9   99270.9   19552.2 ]
[24-11-01 12:21:14] 70     -7400.08 [    49900.7   82704.9   99270.9   19476.7 ]
[24-11-01 12:21:14] 71     -7381.35 [    49900.7   82704.9   99270.9   18216.0 ]
[24-11-01 12:21:15] 72     -7388.28 [    49900.7   82704.9   99270.9   16166.7 ]
[24-11-01 12:21:15] 73     -7377.37 [    49900.7   82704.9   99270.9   17498.1 ]
[24-11-01 12:21:15] 74     -7377.29 [    49900.7   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:15] 75     -7377.33 [    49900.7   82704.9   99270.9   17305.1 ]
[24-11-01 12:21:15] 77     -7377.29 [    49900.7   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:15] 78      -7377.1 [    49901.7   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:16] 79      -7376.8 [    49903.3   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:16] 81     -7364.15 [    49970.7   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:16] 83     -7370.47 [    49937.0   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:16] 84     -7361.17 [    49986.6   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:16] 85     -7359.33 [    49996.4   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:16] 87     -7360.03 [    49992.7   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:17] 88     -7358.89 [    49998.8   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:17] 90     -7359.08 [    49997.8   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:17] 91     -7358.89 [    49998.8   82704.9   99270.9   17402.1 ]
[24-11-01 12:21:17] 92     -7358.87 [    49998.8   82705.9   99270.9   17402.1 ]
[24-11-01 12:21:17] 93     -7358.84 [    49998.8   82707.5   99270.9   17402.1 ]
[24-11-01 12:21:17] 94     -7355.65 [    49998.8   82883.8   99270.9   17402.1 ]
[24-11-01 12:21:18] 95     -7107.57 [    49998.8  102107.7   99270.9   17402.1 ]
[24-11-01 12:21:18] 96      -7047.6 [    49998.8  116431.8   99270.9   17402.1 ]
[24-11-01 12:21:18] 97     -7162.34 [    49998.8  139608.7   99270.9   17402.1 ]
[24-11-01 12:21:18] 98     -7061.37 [    49998.8  125284.6   99270.9   17402.1 ]
[24-11-01 12:21:18] 99     -7058.31 [    49998.8  110960.5   99270.9   17402.1 ]
[24-11-01 12:21:18] 100    -7047.24 [    49998.8  117687.0   99270.9   17402.1 ]
[24-11-01 12:21:19] 101    -7047.26 [    49998.8  117337.2   99270.9   17402.1 ]
[24-11-01 12:21:19] 102    -7047.27 [    49998.8  118036.8   99270.9   17402.1 ]
[24-11-01 12:21:19] 103    -7047.24 [    49998.8  117687.0   99270.9   17402.1 ]
[24-11-01 12:21:19] 104    -7047.23 [    49998.8  117687.0   99271.9   17402.1 ]
[24-11-01 12:21:19] 105    -7047.23 [    49998.8  117687.0   99273.5   17402.1 ]
[24-11-01 12:21:19] 106    -7047.07 [    49998.8  117687.0   99449.9   17402.1 ]
[24-11-01 12:21:20] 111    -7046.71 [    49998.8  117687.0   99859.1   17402.1 ]
[24-11-01 12:21:20] 112    -7046.89 [    49998.8  117687.0   99654.5   17402.1 ]
[24-11-01 12:21:20] 114    -7046.62 [    49998.8  117687.0   99955.7   17402.1 ]
[24-11-01 12:21:20] 116    -7046.66 [    49998.8  117687.0   99918.8   17402.1 ]
[24-11-01 12:21:20] 117     -7046.6 [    49998.8  117687.0   99978.5   17402.1 ]
[24-11-01 12:21:20] 118    -7046.59 [    49998.8  117687.0   99992.6   17402.1 ]
[24-11-01 12:21:21] 120    -7046.59 [    49998.8  117687.0   99992.6   17402.1 ]
[24-11-01 12:21:21] 121    -7046.47 [    49998.8  117687.0   99992.6   17403.1 ]
[24-11-01 12:21:21] 122    -7046.27 [    49998.8  117687.0   99992.6   17404.7 ]
[24-11-01 12:21:21] 123    -7025.44 [    49998.8  117687.0   99992.6   17581.1 ]
[24-11-01 12:21:21] 124    -6797.15 [    49998.8  117687.0   99992.6   20773.6 ]
[24-11-01 12:21:21] 125    -6749.36 [    49998.8  117687.0   99992.6   25939.1 ]
[24-11-01 12:21:22] 126    -6740.39 [    49998.8  117687.0   99992.6   23977.3 ]
[24-11-01 12:21:22] 127    -6748.97 [    49998.8  117687.0   99992.6   22753.6 ]
[24-11-01 12:21:22] 128     -6741.0 [    49998.8  117687.0   99992.6   24726.7 ]
[24-11-01 12:21:22] 129    -6740.16 [    49998.8  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:22] 130    -6740.16 [    49998.8  117687.0   99992.6   24181.5 ]
[24-11-01 12:21:22] 131    -6740.18 [    49998.8  117687.0   99992.6   24318.5 ]
[24-11-01 12:21:23] 133    -6740.16 [    49998.8  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:23] 134    -6739.99 [    49999.8  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:23] 137    -6740.05 [    49999.4  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:23] 138    -6740.02 [    49999.6  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:23] 140    -6739.97 [    49999.9  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:23] 141    -6739.96 [    49999.9  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 142    -6739.96 [    49999.9  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 143    -6739.95 [    50000.0  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 144    -6739.95 [    50000.0  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 145    -6739.95 [    50000.0  117687.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 146    -6739.93 [    50000.0  117688.0   99992.6   24250.0 ]
[24-11-01 12:21:24] 147     -6739.9 [    50000.0  117689.6   99992.6   24250.0 ]
[24-11-01 12:21:25] 148    -6736.88 [    50000.0  117866.0   99992.6   24250.0 ]
[24-11-01 12:21:25] 149     -6460.0 [    50000.0  137089.9   99992.6   24250.0 ]
[24-11-01 12:21:25] 150    -6204.14 [    50000.0  178378.3   99992.6   24250.0 ]
[24-11-01 12:21:25] 151    -6679.26 [    50000.0  245184.5   99992.6   24250.0 ]
[24-11-01 12:21:25] 152    -6262.79 [    50000.0  203896.0   99992.6   24250.0 ]
[24-11-01 12:21:25] 153    -6249.06 [    50000.0  162607.5   99992.6   24250.0 ]
[24-11-01 12:21:26] 154    -6202.73 [    50000.0  181917.9   99992.6   24250.0 ]
[24-11-01 12:21:26] 155    -6202.75 [    50000.0  181275.6   99992.6   24250.0 ]
[24-11-01 12:21:26] 156    -6202.81 [    50000.0  182560.3   99992.6   24250.0 ]
[24-11-01 12:21:26] 157    -6202.73 [    50000.0  181917.9   99992.6   24250.0 ]
[24-11-01 12:21:26] 158    -6202.73 [    50000.0  181917.9   99993.6   24250.0 ]
[24-11-01 12:21:26] 159    -6202.72 [    50000.0  181917.9   99995.2   24250.0 ]
[24-11-01 12:21:27] 164    -6202.72 [    50000.0  181917.9   99999.0   24250.0 ]
[24-11-01 12:21:27] 165    -6202.72 [    50000.0  181917.9   99997.1   24250.0 ]
[24-11-01 12:21:27] 167    -6202.72 [    50000.0  181917.9   99999.8   24250.0 ]
[24-11-01 12:21:27] 169    -6202.72 [    50000.0  181917.9   99999.5   24250.0 ]
[24-11-01 12:21:27] 171    -6202.72 [    50000.0  181917.9   99999.7   24250.0 ]
[24-11-01 12:21:27] 172    -6202.72 [    50000.0  181917.9   99999.9   24250.0 ]
[24-11-01 12:21:28] 173    -6202.72 [    50000.0  181917.9   99999.9   24250.0 ]
[24-11-01 12:21:28] 174     -6202.6 [    50000.0  181917.9   99999.9   24251.0 ]
[24-11-01 12:21:28] 175    -6202.39 [    50000.0  181917.9   99999.9   24252.6 ]
[24-11-01 12:21:28] 176    -6180.78 [    50000.0  181917.9   99999.9   24429.0 ]
[24-11-01 12:21:28] 177    -5807.75 [    50000.0  181917.9   99999.9   29382.5 ]
[24-11-01 12:21:28] 178    -5703.27 [    50000.0  181917.9   99999.9   37397.3 ]
[24-11-01 12:21:29] 179    -5700.42 [    50000.0  181917.9   99999.9   34747.4 ]
[24-11-01 12:21:29] 180    -5719.03 [    50000.0  181917.9   99999.9   32698.2 ]
[24-11-01 12:21:29] 181    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:29] 182    -5698.49 [    50000.0  181917.9   99999.9   35644.5 ]
[24-11-01 12:21:29] 183    -5698.51 [    50000.0  181917.9   99999.9   35874.6 ]
[24-11-01 12:21:29] 185    -5698.47 [    50000.0  181917.9   99999.9   35759.6 ]
[24-11-01 12:21:30] 187     -5698.7 [    49998.4  181917.9   99999.9   35759.6 ]
