[24-11-05 11:25:43] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:25:43] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:25:43] 0            p0 [   732562.5    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:43] 1     -26202.01 [   732562.5    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:44] 2     -26202.01 [   732562.5    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:44] 3     -26202.17 [   732563.5    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:45] 4     -26201.76 [   732560.9    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:45] 5      -26174.5 [   732384.5    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:46] 6     -23655.25 [   713160.7    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:47] 7     -21330.93 [   668815.0    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:47] 8     -28462.97 [   597062.2    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:48] 9     -22409.71 [   641407.8    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:49] 10    -21635.67 [   685753.5    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:49] 11    -21328.36 [   670328.9    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:50] 12     -21328.7 [   669706.6    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:51] 13    -21329.01 [   670951.3    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:51] 14    -21328.36 [   670328.9    7028.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:52] 15     -21327.8 [   670328.9    7029.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:53] 16     -21326.9 [   670328.9    7030.7  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:53] 17    -21235.47 [   670328.9    7207.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:54] 18    -20909.96 [   670328.9    8298.0  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:55] 19    -20894.35 [   670328.9   10063.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:55] 20     -20849.7 [   670328.9    9224.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:56] 21    -20855.99 [   670328.9    8870.4  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:57] 22    -20858.09 [   670328.9    9544.6  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:57] 23    -20849.54 [   670328.9    9183.7  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:58] 24    -20849.54 [   670328.9    9162.1  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:59] 25    -20849.54 [   670328.9    9183.7  566266.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:25:59] 26    -20849.53 [   670328.9    9183.7  566267.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:00] 27    -20849.51 [   670328.9    9183.7  566269.4    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:01] 28    -20847.37 [   670328.9    9183.7  566445.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:01] 29     -20741.1 [   670328.9    9183.7  584103.4    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:02] 30    -21027.28 [   670328.9    9183.7  612674.0    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:03] 31    -20783.04 [   670328.9    9183.7  595016.4    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:03] 32    -20756.39 [   670328.9    9183.7  577358.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:04] 33     -20741.1 [   670328.9    9183.7  583925.0    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:05] 34    -20741.12 [   670328.9    9183.7  584281.8    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:05] 35     -20741.1 [   670328.9    9183.7  584103.4    2528.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:06] 36    -20750.33 [   670328.9    9183.7  584103.4    2529.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:07] 37    -20726.18 [   670328.9    9183.7  584103.4    2526.6    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:08] 38    -19261.04 [   670328.9    9183.7  584103.4    2350.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:08] 39    -16013.74 [   670328.9    9183.7  584103.4    1629.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:09] 40    -16131.15 [   670328.9    9183.7  584103.4     462.6    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:10] 41    -15512.75 [   670328.9    9183.7  584103.4    1183.6    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:10] 42    -15555.93 [   670328.9    9183.7  584103.4     908.2    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:11] 43    -15501.12 [   670328.9    9183.7  584103.4    1090.0    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:12] 44     -15501.1 [   670328.9    9183.7  584103.4    1104.4    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:12] 45    -15501.71 [   670328.9    9183.7  584103.4    1118.7    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:13] 46     -15501.1 [   670328.9    9183.7  584103.4    1104.4    2208.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:14] 47    -15500.01 [   670328.9    9183.7  584103.4    1104.4    2209.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:14] 48    -15498.24 [   670328.9    9183.7  584103.4    1104.4    2210.6   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:15] 49     -15347.0 [   670328.9    9183.7  584103.4    1104.4    2386.9   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:16] 50    -15295.29 [   670328.9    9183.7  584103.4    1104.4    2626.8   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:16] 51    -15692.63 [   670328.9    9183.7  584103.4    1104.4    3014.8   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:17] 52    -15369.84 [   670328.9    9183.7  584103.4    1104.4    2775.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:18] 53    -15291.65 [   670328.9    9183.7  584103.4    1104.4    2535.2   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:18] 54    -15289.43 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:19] 55    -15289.45 [   670328.9    9183.7  584103.4    1104.4    2567.0   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:20] 56    -15289.46 [   670328.9    9183.7  584103.4    1104.4    2574.3   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:21] 57    -15289.43 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:21] 58    -15289.43 [   670328.9    9183.7  584103.4    1104.4    2570.7   20791.2   24861.2  9.69e-06 ]
[24-11-05 11:26:22] 59    -15289.43 [   670328.9    9183.7  584103.4    1104.4    2570.7   20792.8   24861.2  9.69e-06 ]
[24-11-05 11:26:23] 60    -15289.43 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   24861.2  9.69e-06 ]
[24-11-05 11:26:23] 61    -15289.39 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   24862.2  9.69e-06 ]
[24-11-05 11:26:24] 62    -15289.34 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   24863.8  9.69e-06 ]
[24-11-05 11:26:25] 63    -15284.92 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25040.1  9.69e-06 ]
[24-11-05 11:26:25] 64    -15283.38 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25217.6  9.69e-06 ]
[24-11-05 11:26:26] 65    -15286.83 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25504.7  9.69e-06 ]
[24-11-05 11:26:27] 66    -15283.84 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25327.2  9.69e-06 ]
[24-11-05 11:26:28] 67    -15283.63 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25149.8  9.69e-06 ]
[24-11-05 11:26:28] 68    -15283.37 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.69e-06 ]
[24-11-05 11:26:29] 69    -15283.37 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25221.5  9.69e-06 ]
[24-11-05 11:26:30] 70    -15283.38 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25228.7  9.69e-06 ]
[24-11-05 11:26:30] 71    -15283.37 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.69e-06 ]
[24-11-05 11:26:31] 86    -140571.2 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  5.06e-04 ]
[24-11-05 11:26:32] 87    -132904.5 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  2.58e-04 ]
[24-11-05 11:26:32] 88    -109005.7 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  1.05e-04 ]
[24-11-05 11:26:33] 89     -65579.2 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  4.59e-05 ]
[24-11-05 11:26:34] 91    -30732.61 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  2.35e-05 ]
[24-11-05 11:26:34] 92     -32454.4 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.43e-07 ]
[24-11-05 11:26:35] 93    -16259.61 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  1.25e-05 ]
[24-11-05 11:26:36] 94     -15472.9 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  8.63e-06 ]
[24-11-05 11:26:36] 95    -15283.67 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.83e-06 ]
[24-11-05 11:26:37] 96    -15282.88 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:38] 97    -15282.88 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:38] 98    -15282.88 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:39] 100   -15282.88 [   670328.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:40] 101   -15282.82 [   670329.9    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
[24-11-05 11:26:41] 102   -15282.73 [   670331.6    9183.7  584103.4    1104.4    2570.7   20790.2   25225.1  9.75e-06 ]
