[24-11-05 11:59:26] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:59:26] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:59:26] 0            p0 [   904346.0    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:27] 1     -74226.12 [   904346.0    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:29] 2     -74226.12 [   904346.0    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:29] 3     -74226.83 [   904347.0    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:30] 4     -74224.97 [   904344.4    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:31] 5     -74099.64 [   904168.0    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:32] 6     -61210.77 [   884944.1    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:33] 8     -32855.18 [   826711.8    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:33] 9     -25438.53 [   790722.3    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:34] 11    -27187.08 [   804469.0    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:35] 13    -25936.07 [   795973.1    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:36] 14    -25198.18 [   786497.7    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:37] 15    -25157.28 [   785319.2    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:37] 16    -25112.51 [   783158.4    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:38] 17    -25104.72 [   781946.5    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:39] 18    -25104.72 [   781946.5    4422.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:40] 19    -25104.72 [   781946.5    4423.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:40] 20    -25104.71 [   781946.5    4424.6  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:41] 21    -25104.27 [   781946.5    4600.9  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:42] 22    -25102.25 [   781946.5    5857.8  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:43] 23    -25100.93 [   781946.5    7891.4  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:43] 24     -25100.9 [   781946.5    7986.1  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:44] 25    -25100.84 [   781946.5    8139.4  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:45] 26    -25100.38 [   781946.5   10220.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:46] 27    -25100.11 [   781946.5   13586.5  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:47] 28    -25100.11 [   781946.5   13456.2  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:47] 29    -25100.01 [   781946.5   19033.6  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:48] 30    -25100.02 [   781946.5   17518.2  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:49] 31    -25100.03 [   781946.5   27847.1  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:49] 32    -25100.01 [   781946.5   22400.0  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:50] 33    -25100.02 [   781946.5   24480.6  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:51] 34    -25100.01 [   781946.5   21087.5  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:52] 35    -25100.01 [   781946.5   20920.9  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:53] 36    -25100.01 [   781946.5   20755.9  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:53] 37    -25100.01 [   781946.5   20920.9  780408.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:54] 38    -25099.99 [   781946.5   20920.9  780409.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:55] 39    -25099.96 [   781946.5   20920.9  780411.5    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:55] 40    -25097.01 [   781946.5   20920.9  780587.9    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:56] 44    -25079.12 [   781946.5   20920.9  781659.2    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:57] 45    -25088.05 [   781946.5   20920.9  781123.6    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:58] 47    -25074.92 [   781946.5   20920.9  781912.1    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:58] 49    -25076.52 [   781946.5   20920.9  781815.5    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
[24-11-05 11:59:59] 51    -25075.53 [   781946.5   20920.9  781875.2    3402.0    2429.5   21631.8   26387.4  1.13e-05 ]
