[24-11-05 11:39:06] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 11:39:06] 0        pnames [         TA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 11:39:06] 0            p0 [   753214.9    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:07] 1     -61670.06 [   753214.9    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:08] 2     -61670.06 [   753214.9    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:10] 3     -61670.55 [   753215.9    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:11] 4     -61669.26 [   753213.3    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:12] 5     -61582.33 [   753036.9    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:13] 6     -53030.17 [   733813.1    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:15] 7     -38667.83 [   653539.6    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:16] 9     -49539.94 [   603927.9    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:17] 10    -39851.43 [   684201.3    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:18] 11    -38427.73 [   662859.3    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:19] 12    -38427.57 [   661955.8    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:21] 13    -38432.48 [   661043.2    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:22] 14    -38427.57 [   661955.8    7433.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:23] 15     -38427.9 [   661955.8    7434.8  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:24] 16    -38427.04 [   661955.8    7432.2  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:26] 17    -38371.97 [   661955.8    7255.9  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:27] 18    -38313.55 [   661955.8    5829.6  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:28] 19    -43448.29 [   661955.8    3521.7  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:29] 20    -38982.23 [   661955.8    4948.0  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:31] 21    -38228.81 [   661955.8    6374.4  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:32] 22     -38231.1 [   661955.8    6285.9  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:33] 23    -38228.79 [   661955.8    6384.9  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
[24-11-05 11:39:34] 24    -38228.83 [   661955.8    6395.4  601037.4    3925.6    3360.9   20871.8   23796.1  1.02e-05 ]
