[24-11-05 14:32:47] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:32:47] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:32:47] 0            p0 [    24465.6    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:32:48] 1    -282505.29 [    24465.6    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:32:49] 2    -282505.29 [    24465.6    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:32:50] 3    -282546.19 [    24466.6    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:32:52] 4    -282439.12 [    24464.0    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:32:53] 5    -275299.25 [    24287.6    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:32:54] 6     -69536.19 [    15579.8    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:32:55] 7     -66578.76 [     1490.3    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:32:57] 8     -42647.01 [     8432.9    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:32:58] 9     -43464.67 [    11162.8    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:32:59] 10    -48905.53 [     5781.1    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:00] 11    -41908.57 [     9494.8    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:02] 12    -41904.71 [     9644.5    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:03] 13    -41927.01 [     9792.7    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:04] 14    -41904.71 [     9644.5    6475.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:05] 15    -41902.92 [     9644.5    6476.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:07] 16    -41900.01 [     9644.5    6478.6  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:08] 17    -41597.05 [     9644.5    6654.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:09] 18    -39657.89 [     9644.5    8527.3  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:11] 19    -39121.33 [     9644.5   11556.8  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:12] 20    -39100.83 [     9644.5   10547.7  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:13] 21    -39195.95 [     9644.5    9775.9  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:14] 22    -39092.22 [     9644.5   10933.1  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:16] 23    -39092.11 [     9644.5   10868.5  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:17] 24    -39092.38 [     9644.5   10824.6  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:18] 25    -39092.11 [     9644.5   10868.5  589744.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:20] 26    -39092.07 [     9644.5   10868.5  589745.8    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:21] 27    -39092.01 [     9644.5   10868.5  589747.4    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:22] 28     -39085.5 [     9644.5   10868.5  589923.7    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:24] 29    -38439.26 [     9644.5   10868.5  609147.6    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:25] 30     -36938.6 [     9644.5   10868.5  697595.9    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:26] 31    -38737.11 [     9644.5   10868.5  840708.2    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:27] 32    -37068.04 [     9644.5   10868.5  752259.9    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:29] 33    -37244.91 [     9644.5   10868.5  663811.6    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:30] 34    -36899.03 [     9644.5   10868.5  715769.9    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:31] 35    -36899.05 [     9644.5   10868.5  714509.7    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:33] 36    -36899.41 [     9644.5   10868.5  717030.2    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:34] 37    -36899.03 [     9644.5   10868.5  715769.9    3815.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:35] 38    -36912.61 [     9644.5   10868.5  715769.9    3816.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:37] 39    -36877.08 [     9644.5   10868.5  715769.9    3813.4    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:38] 40    -34600.14 [     9644.5   10868.5  715769.9    3637.0    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:39] 41    -23010.07 [     9644.5   10868.5  715769.9    1973.4    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:41] 43    -21819.49 [     9644.5   10868.5  715769.9     945.2    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:42] 44    -22273.14 [     9644.5   10868.5  715769.9     309.8    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:44] 45    -21821.83 [     9644.5   10868.5  715769.9     916.5    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:45] 46     -21818.8 [     9644.5   10868.5  715769.9     973.9    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:46] 47    -21972.49 [     9644.5   10868.5  715769.9    1355.7    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:48] 48    -21819.74 [     9644.5   10868.5  715769.9    1002.4    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:49] 49     -21818.8 [     9644.5   10868.5  715769.9     973.9    2495.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:50] 50    -21817.98 [     9644.5   10868.5  715769.9     973.9    2496.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:52] 51    -21816.67 [     9644.5   10868.5  715769.9     973.9    2498.3   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:53] 52    -21696.41 [     9644.5   10868.5  715769.9     973.9    2674.6   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:54] 53    -21621.67 [     9644.5   10868.5  715769.9     973.9    3049.2   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:56] 54    -22181.91 [     9644.5   10868.5  715769.9     973.9    3655.3   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:57] 55    -21724.83 [     9644.5   10868.5  715769.9     973.9    3280.7   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:33:59] 56    -21617.88 [     9644.5   10868.5  715769.9     973.9    2906.1   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:34:00] 57    -21614.25 [     9644.5   10868.5  715769.9     973.9    2965.8   27009.1   30784.0  8.52e-06 ]
[24-11-05 14:34:01] 58    -21614.27 [     9644.5   10868.5  715769.9     973.9    2961.1   27009.1   30784.0  8.52e-06 ]
