[24-11-05 14:46:12] fitting objective_H2 to data for demes ['Altai', 'Denisova', 'Yoruba']
[24-11-05 14:46:12] 0        pnames [         NA       NND       TND        NA        ND       NY0       NY1       mAD ]
[24-11-05 14:46:12] 0            p0 [    15275.0    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:12] 1     -73996.69 [    15275.0    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:13] 2     -73996.69 [    15275.0    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:14] 3     -74007.74 [    15276.0    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:14] 4     -73978.82 [    15273.4    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:15] 5     -72068.12 [    15097.0    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:16] 6     -44615.56 [    10575.7    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:17] 7     -56212.67 [     3260.0    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:17] 8      -43474.4 [     7781.3    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:18] 9     -46763.72 [     6054.3    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:19] 10    -42832.81 [     8779.4    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:19] 11    -42828.12 [     8844.3    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:20] 12     -42828.2 [     8908.6    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:21] 13    -42828.12 [     8844.3    5310.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
[24-11-05 14:46:22] 14    -42827.24 [     8844.3    5311.7  747903.3    3967.6    3157.8   31036.6   37960.5   1.4e-05 ]
