0 47256 47256
         28681721 function calls (28666075 primitive calls) in 20.833 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    298/1    0.003    0.000   20.833   20.833 {built-in method builtins.exec}
        1    0.002    0.002   20.833   20.833 <string>:1(<module>)
        1    0.000    0.000   20.831   20.831 <frozen runpy>:201(run_module)
        1    0.000    0.000   20.830   20.830 <frozen runpy>:65(_run_code)
        1    0.000    0.000   20.830   20.830 profile.py:1(<module>)
        1    8.062    8.062   12.593   12.593 two_locus.py:115(count_two_sample_het_pairs)
        2    0.001    0.000    7.689    3.844 sample_sets.py:56(read_chr)
        2    0.309    0.155    7.688    3.844 sample_sets.py:39(read)
        2    0.533    0.266    5.995    2.997 vcf_util.py:401(read)
   187006    0.186    0.000    4.583    0.000 vcf_util.py:326(get_genotypes)
    442/4    0.001    0.000    4.447    1.112 {built-in method builtins.__import__}
    357/3    0.003    0.000    4.447    1.482 <frozen importlib._bootstrap>:1167(_find_and_load)
    354/3    0.002    0.000    4.447    1.482 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    832/6    0.001    0.000    4.447    0.741 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    486/3    0.001    0.000    4.447    1.482 <frozen importlib._bootstrap>:1209(_handle_fromlist)
    336/4    0.002    0.000    4.447    1.112 <frozen importlib._bootstrap>:666(_load_unlocked)
    288/4    0.001    0.000    4.446    1.112 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    3.899    3.899 two_locus.py:1(<module>)
   187006    0.366    0.000    3.379    0.000 vcf_util.py:333(<listcomp>)
  1870060    1.235    0.000    3.012    0.000 vcf_util.py:337(decode_genotype_bytes)
   897868    0.611    0.000    2.782    0.000 fromnumeric.py:2177(sum)
    47269    0.024    0.000    2.182    0.000 fromnumeric.py:53(_wrapfunc)
   897868    0.720    0.000    2.097    0.000 fromnumeric.py:71(_wrapreduction)
    47263    0.026    0.000    2.074    0.000 fromnumeric.py:1332(searchsorted)
    47263    2.018    0.000    2.018    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
  1870638    1.185    0.000    1.185    0.000 {built-in method numpy.array}
   897868    1.004    0.000    1.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       35    0.002    0.000    0.803    0.023 __init__.py:1(<module>)
        2    0.371    0.186    0.799    0.400 map_util.py:54(approximate_map_values)
   187006    0.338    0.000    0.783    0.000 vcf_util.py:331(<listcomp>)
  1870060    0.540    0.000    0.718    0.000 vcf_util.py:344(<listcomp>)
        1    0.000    0.000    0.548    0.548 sample_sets.py:1(<module>)
  1870060    0.320    0.000    0.445    0.000 vcf_util.py:306(get_split_sample)
  4114162    0.408    0.000    0.408    0.000 {method 'split' of 'bytes' objects}
        4    0.077    0.019    0.393    0.098 bed_util.py:263(get_1_idx_positions)
        1    0.000    0.000    0.353    0.353 map_util.py:1(<module>)
        2    0.000    0.000    0.325    0.163 vcf_util.py:425(<dictcomp>)
   897868    0.315    0.000    0.315    0.000 fromnumeric.py:72(<dictcomp>)
        1    0.000    0.000    0.282    0.282 pyplot.py:1(<module>)
        2    0.058    0.029    0.269    0.135 bed_util.py:61(read_bed)
 1090/984    0.013    0.000    0.249    0.000 {built-in method builtins.__build_class__}
   187038    0.081    0.000    0.230    0.000 gzip.py:397(readline)
        2    0.000    0.000    0.196    0.098 bed_util.py:22(__init__)
   187006    0.072    0.000    0.191    0.000 vcf_util.py:312(get_format_field_idx)
   187008    0.102    0.000    0.183    0.000 vcf_util.py:196(__init__)
        4    0.182    0.045    0.182    0.045 bed_util.py:280(get_position_mask)
  3740148    0.178    0.000    0.178    0.000 {method 'decode' of 'bytes' objects}
