# {'chrom': '10', 'window_id': '5', 'statistic': 'H2', 'bounds': [99000000, 118000000], 'span': 19000000, 'n_sites': 12440881, 'coverage': 65.48, 'right_discontinuous': False, 'rows': "{0: 'Altai', 1: 'Chagyrskaya', 2: 'Denisova', 3: 'French-1', 4: 'Han-1', 5: 'Khomani_San-2', 6: 'Papuan-2', 7: 'Vindija', 8: 'Yoruba-1', 9: 'Yoruba-3'}"}
4.410000000000000000e+02 2.380000000000000000e+02 3.470000000000000000e+02 4.460000000000000000e+02 6.450000000000000000e+02 2.181000000000000000e+03 1.890000000000000000e+03 3.370000000000000000e+03 8.987000000000000000e+03 7.977000000000000000e+03 1.676500000000000000e+04 3.250200000000000000e+04 2.422700000000000000e+04 3.390500000000000000e+04 7.779000000000000000e+04 9.780400000000000000e+04 2.872620000000000000e+05 8.011170000000000000e+05 1.065088000000000000e+06
6.510000000000000000e+02 5.120000000000000000e+02 9.240000000000000000e+02 1.108000000000000000e+03 1.743000000000000000e+03 4.285000000000000000e+03 5.151000000000000000e+03 9.896000000000000000e+03 1.571100000000000000e+04 1.208500000000000000e+04 1.728600000000000000e+04 2.371500000000000000e+04 3.873400000000000000e+04 4.740500000000000000e+04 7.603800000000000000e+04 2.112250000000000000e+05 3.552490000000000000e+05 1.040606000000000000e+06 1.379400000000000000e+06
1.710000000000000000e+02 8.700000000000000000e+01 1.860000000000000000e+02 3.020000000000000000e+02 3.360000000000000000e+02 6.590000000000000000e+02 1.159000000000000000e+03 1.597000000000000000e+03 3.327000000000000000e+03 3.636000000000000000e+03 5.125000000000000000e+03 1.034800000000000000e+04 1.521700000000000000e+04 2.486600000000000000e+04 7.274000000000000000e+04 1.072900000000000000e+05 2.008220000000000000e+05 6.100250000000000000e+05 8.708170000000000000e+05
2.243000000000000000e+03 1.619000000000000000e+03 2.846000000000000000e+03 2.713000000000000000e+03 3.968000000000000000e+03 1.094000000000000000e+04 1.600500000000000000e+04 2.776500000000000000e+04 6.593100000000000000e+04 7.005400000000000000e+04 1.054430000000000000e+05 1.977850000000000000e+05 2.308480000000000000e+05 3.789010000000000000e+05 1.200990000000000000e+06 1.964921000000000000e+06 3.697578000000000000e+06 1.112106100000000000e+07 1.453541800000000000e+07
2.969000000000000000e+03 1.816000000000000000e+03 3.060000000000000000e+03 2.905000000000000000e+03 3.628000000000000000e+03 8.623000000000000000e+03 1.466700000000000000e+04 2.593700000000000000e+04 6.472300000000000000e+04 7.185000000000000000e+04 9.794200000000000000e+04 1.898850000000000000e+05 2.957160000000000000e+05 4.468660000000000000e+05 9.226010000000000000e+05 1.375724000000000000e+06 3.092237000000000000e+06 9.104366000000000000e+06 1.400347100000000000e+07
3.430000000000000000e+03 2.446000000000000000e+03 4.293000000000000000e+03 4.791000000000000000e+03 6.765000000000000000e+03 1.708500000000000000e+04 2.289000000000000000e+04 3.833400000000000000e+04 9.141000000000000000e+04 1.039470000000000000e+05 1.534880000000000000e+05 3.448670000000000000e+05 4.794000000000000000e+05 8.775940000000000000e+05 2.228770000000000000e+06 3.588673000000000000e+06 7.455273000000000000e+06 2.052865700000000000e+07 3.119674100000000000e+07
2.884000000000000000e+03 1.805000000000000000e+03 3.068000000000000000e+03 2.889000000000000000e+03 3.713000000000000000e+03 9.459000000000000000e+03 1.548800000000000000e+04 2.497700000000000000e+04 5.928500000000000000e+04 5.957700000000000000e+04 9.699900000000000000e+04 1.780880000000000000e+05 2.666460000000000000e+05 3.170650000000000000e+05 8.685160000000000000e+05 1.520320000000000000e+06 2.900574000000000000e+06 7.990063000000000000e+06 1.366232300000000000e+07
4.240000000000000000e+02 3.280000000000000000e+02 5.830000000000000000e+02 6.210000000000000000e+02 7.990000000000000000e+02 2.111000000000000000e+03 2.670000000000000000e+03 5.438000000000000000e+03 1.168400000000000000e+04 9.258000000000000000e+03 1.171400000000000000e+04 2.145600000000000000e+04 3.633300000000000000e+04 4.220400000000000000e+04 9.639600000000000000e+04 1.636400000000000000e+05 2.824470000000000000e+05 9.064870000000000000e+05 1.471480000000000000e+06
2.571000000000000000e+03 1.970000000000000000e+03 3.762000000000000000e+03 4.432000000000000000e+03 6.361000000000000000e+03 1.562400000000000000e+04 2.269800000000000000e+04 4.087500000000000000e+04 8.959600000000000000e+04 9.730600000000000000e+04 1.488230000000000000e+05 3.517510000000000000e+05 5.143870000000000000e+05 9.004430000000000000e+05 2.326318000000000000e+06 3.561758000000000000e+06 7.141432000000000000e+06 2.070259400000000000e+07 3.110759700000000000e+07
2.887000000000000000e+03 2.034000000000000000e+03 4.024000000000000000e+03 4.239000000000000000e+03 5.635000000000000000e+03 1.358200000000000000e+04 2.149700000000000000e+04 3.795900000000000000e+04 8.357900000000000000e+04 9.112300000000000000e+04 1.442760000000000000e+05 3.092410000000000000e+05 3.888820000000000000e+05 7.204420000000000000e+05 1.854710000000000000e+06 3.068624000000000000e+06 6.435227000000000000e+06 1.797504100000000000e+07 2.734468400000000000e+07
