# {'chrom': '14', 'window_id': '3', 'statistic': 'H2', 'bounds': [86000000, 108000000], 'span': 22000000, 'n_sites': 13412743, 'coverage': 60.97, 'right_discontinuous': True, 'rows': "{0: 'Altai', 1: 'Chagyrskaya', 2: 'Denisova', 3: 'French-1', 4: 'Han-1', 5: 'Khomani_San-2', 6: 'Papuan-2', 7: 'Vindija', 8: 'Yoruba-1', 9: 'Yoruba-3'}"}
1.500000000000000000e+01 2.600000000000000000e+01 1.190000000000000000e+02 2.810000000000000000e+02 5.380000000000000000e+02 1.555000000000000000e+03 2.134000000000000000e+03 3.630000000000000000e+03 7.216000000000000000e+03 8.670000000000000000e+03 8.511000000000000000e+03 7.868000000000000000e+03 1.190300000000000000e+04 1.664400000000000000e+04 5.604000000000000000e+04 7.131800000000000000e+04 1.233580000000000000e+05 3.450810000000000000e+05 4.697440000000000000e+05
2.800000000000000000e+01 5.000000000000000000e+01 1.310000000000000000e+02 1.860000000000000000e+02 4.600000000000000000e+02 1.220000000000000000e+03 1.619000000000000000e+03 2.965000000000000000e+03 6.766000000000000000e+03 6.376000000000000000e+03 9.910000000000000000e+03 2.507000000000000000e+04 2.532700000000000000e+04 1.931900000000000000e+04 5.536200000000000000e+04 7.244600000000000000e+04 1.008050000000000000e+05 2.312330000000000000e+05 2.683380000000000000e+05
3.500000000000000000e+01 3.200000000000000000e+01 1.310000000000000000e+02 2.710000000000000000e+02 5.870000000000000000e+02 1.787000000000000000e+03 2.021000000000000000e+03 2.947000000000000000e+03 7.563000000000000000e+03 6.565000000000000000e+03 9.367000000000000000e+03 1.895600000000000000e+04 1.894100000000000000e+04 3.190200000000000000e+04 7.154500000000000000e+04 9.724700000000000000e+04 1.979700000000000000e+05 5.141780000000000000e+05 9.390440000000000000e+05
2.214000000000000000e+03 1.523000000000000000e+03 1.973000000000000000e+03 2.061000000000000000e+03 3.056000000000000000e+03 9.514000000000000000e+03 1.470400000000000000e+04 2.474700000000000000e+04 5.603700000000000000e+04 5.868200000000000000e+04 8.022300000000000000e+04 1.554930000000000000e+05 1.671860000000000000e+05 3.563320000000000000e+05 8.075100000000000000e+05 1.431593000000000000e+06 2.665475000000000000e+06 7.178796000000000000e+06 1.275713800000000000e+07
2.826000000000000000e+03 1.413000000000000000e+03 1.826000000000000000e+03 1.920000000000000000e+03 3.198000000000000000e+03 1.014800000000000000e+04 1.628100000000000000e+04 2.756400000000000000e+04 5.703400000000000000e+04 6.095300000000000000e+04 8.084300000000000000e+04 1.551750000000000000e+05 1.897160000000000000e+05 3.285040000000000000e+05 8.148610000000000000e+05 1.309649000000000000e+06 2.557132000000000000e+06 6.999465000000000000e+06 1.203059000000000000e+07
1.525000000000000000e+03 1.043000000000000000e+03 1.870000000000000000e+03 2.319000000000000000e+03 4.268000000000000000e+03 1.297200000000000000e+04 1.936300000000000000e+04 3.272000000000000000e+04 7.480900000000000000e+04 7.503200000000000000e+04 1.172970000000000000e+05 2.451310000000000000e+05 2.935680000000000000e+05 5.584450000000000000e+05 1.653560000000000000e+06 2.536050000000000000e+06 4.620727000000000000e+06 1.253573600000000000e+07 2.121145500000000000e+07
1.401000000000000000e+03 9.220000000000000000e+02 1.446000000000000000e+03 1.510000000000000000e+03 3.203000000000000000e+03 9.312000000000000000e+03 1.428600000000000000e+04 2.493800000000000000e+04 5.207900000000000000e+04 5.521500000000000000e+04 7.872300000000000000e+04 1.484250000000000000e+05 1.837330000000000000e+05 3.029670000000000000e+05 7.777140000000000000e+05 1.240182000000000000e+06 2.341631000000000000e+06 6.810320000000000000e+06 1.147172500000000000e+07
4.300000000000000000e+01 6.100000000000000000e+01 1.250000000000000000e+02 1.470000000000000000e+02 2.800000000000000000e+02 7.900000000000000000e+02 1.280000000000000000e+03 2.057000000000000000e+03 3.469000000000000000e+03 3.383000000000000000e+03 6.506000000000000000e+03 8.832000000000000000e+03 8.068000000000000000e+03 1.259500000000000000e+04 3.747000000000000000e+04 5.521300000000000000e+04 1.052240000000000000e+05 2.720890000000000000e+05 3.846520000000000000e+05
3.431000000000000000e+03 2.402000000000000000e+03 3.962000000000000000e+03 3.590000000000000000e+03 5.909000000000000000e+03 1.659100000000000000e+04 2.699500000000000000e+04 4.104700000000000000e+04 9.856500000000000000e+04 9.342800000000000000e+04 1.370060000000000000e+05 2.920070000000000000e+05 3.264540000000000000e+05 6.829750000000000000e+05 1.751028000000000000e+06 3.013784000000000000e+06 5.495615000000000000e+06 1.532609000000000000e+07 2.548069000000000000e+07
2.370000000000000000e+03 1.782000000000000000e+03 2.704000000000000000e+03 3.469000000000000000e+03 6.132000000000000000e+03 1.675700000000000000e+04 2.652400000000000000e+04 3.988700000000000000e+04 9.016400000000000000e+04 8.931600000000000000e+04 1.236220000000000000e+05 2.851670000000000000e+05 3.410380000000000000e+05 6.658590000000000000e+05 1.750112000000000000e+06 2.916093000000000000e+06 5.193087000000000000e+06 1.432819200000000000e+07 2.491372800000000000e+07
