# {'chrom': '1', 'window_id': '10', 'statistic': 'H2_X', 'bounds': [228000000, 250000000], 'span': 22000000, 'n_sites': 12519740, 'coverage': 56.91, 'right_discontinuous': True, 'rows': "{0: 'Altai', 1: 'Chagyrskaya', 2: 'Denisova', 3: 'French-1', 4: 'Han-1', 5: 'Khomani_San-2', 6: 'Papuan-2', 7: 'Vindija', 8: 'Yoruba-1', 9: 'Yoruba-3'}"}
6.810000000000000000e+02 3.690000000000000000e+02 3.500000000000000000e+02 3.410000000000000000e+02 5.740000000000000000e+02 1.269000000000000000e+03 1.940000000000000000e+03 3.048000000000000000e+03 6.458000000000000000e+03 7.676000000000000000e+03 9.024000000000000000e+03 1.610200000000000000e+04 1.580900000000000000e+04 2.177600000000000000e+04 4.937800000000000000e+04 8.520500000000000000e+04 1.636870000000000000e+05 4.651570000000000000e+05 8.247490000000000000e+05
2.080000000000000000e+02 1.220000000000000000e+02 2.840000000000000000e+02 3.210000000000000000e+02 4.600000000000000000e+02 1.046000000000000000e+03 1.414000000000000000e+03 1.996000000000000000e+03 4.724000000000000000e+03 4.344000000000000000e+03 6.769000000000000000e+03 8.514000000000000000e+03 6.899000000000000000e+03 1.193500000000000000e+04 3.556500000000000000e+04 4.847900000000000000e+04 9.280000000000000000e+04 2.031630000000000000e+05 2.556690000000000000e+05
5.770000000000000000e+02 2.970000000000000000e+02 3.870000000000000000e+02 3.220000000000000000e+02 5.460000000000000000e+02 1.649000000000000000e+03 1.768000000000000000e+03 2.843000000000000000e+03 5.145000000000000000e+03 6.266000000000000000e+03 6.585000000000000000e+03 1.383700000000000000e+04 1.591200000000000000e+04 3.006900000000000000e+04 5.812100000000000000e+04 1.162610000000000000e+05 2.165350000000000000e+05 5.171360000000000000e+05 6.544180000000000000e+05
2.420000000000000000e+02 2.100000000000000000e+02 4.770000000000000000e+02 6.270000000000000000e+02 9.470000000000000000e+02 1.940000000000000000e+03 3.060000000000000000e+03 4.908000000000000000e+03 1.087300000000000000e+04 1.163200000000000000e+04 1.441900000000000000e+04 3.534900000000000000e+04 4.366800000000000000e+04 8.664900000000000000e+04 2.197070000000000000e+05 3.701720000000000000e+05 6.975360000000000000e+05 1.695604000000000000e+06 1.489602000000000000e+06
2.834000000000000000e+03 1.827000000000000000e+03 2.736000000000000000e+03 2.817000000000000000e+03 4.129000000000000000e+03 1.003200000000000000e+04 1.451800000000000000e+04 2.528500000000000000e+04 5.502200000000000000e+04 6.074700000000000000e+04 7.020600000000000000e+04 1.205210000000000000e+05 1.680960000000000000e+05 3.183840000000000000e+05 7.151880000000000000e+05 1.148553000000000000e+06 2.373692000000000000e+06 6.238851000000000000e+06 9.769736000000000000e+06
4.140000000000000000e+03 2.526000000000000000e+03 3.917000000000000000e+03 4.418000000000000000e+03 6.434000000000000000e+03 1.524800000000000000e+04 2.206700000000000000e+04 3.689000000000000000e+04 7.550400000000000000e+04 9.208900000000000000e+04 1.333080000000000000e+05 2.882190000000000000e+05 3.532760000000000000e+05 6.818710000000000000e+05 1.836582000000000000e+06 3.010186000000000000e+06 5.973534000000000000e+06 1.573415200000000000e+07 2.403122500000000000e+07
2.740000000000000000e+03 1.588000000000000000e+03 2.453000000000000000e+03 2.833000000000000000e+03 4.227000000000000000e+03 1.023000000000000000e+04 1.412700000000000000e+04 2.237300000000000000e+04 5.059900000000000000e+04 5.725300000000000000e+04 7.618000000000000000e+04 1.455580000000000000e+05 1.411080000000000000e+05 2.779790000000000000e+05 5.992980000000000000e+05 9.481960000000000000e+05 1.685290000000000000e+06 5.098498000000000000e+06 7.322425000000000000e+06
3.290000000000000000e+02 2.700000000000000000e+02 5.480000000000000000e+02 6.700000000000000000e+02 1.013000000000000000e+03 2.252000000000000000e+03 3.090000000000000000e+03 4.015000000000000000e+03 8.397000000000000000e+03 1.069200000000000000e+04 1.514900000000000000e+04 2.375000000000000000e+04 2.607800000000000000e+04 5.071700000000000000e+04 9.834800000000000000e+04 1.250570000000000000e+05 2.343860000000000000e+05 5.583810000000000000e+05 9.665540000000000000e+05
2.731000000000000000e+03 1.852000000000000000e+03 2.956000000000000000e+03 3.548000000000000000e+03 5.177000000000000000e+03 1.303000000000000000e+04 1.889900000000000000e+04 3.122200000000000000e+04 6.705000000000000000e+04 7.835800000000000000e+04 9.594400000000000000e+04 2.159010000000000000e+05 2.672330000000000000e+05 5.134630000000000000e+05 1.383195000000000000e+06 2.310310000000000000e+06 4.475546000000000000e+06 1.174671500000000000e+07 1.839837200000000000e+07
2.996000000000000000e+03 1.978000000000000000e+03 3.656000000000000000e+03 4.148000000000000000e+03 6.112000000000000000e+03 1.440200000000000000e+04 2.190100000000000000e+04 3.453700000000000000e+04 7.444000000000000000e+04 9.308900000000000000e+04 1.187300000000000000e+05 2.527470000000000000e+05 2.894710000000000000e+05 6.134350000000000000e+05 1.526551000000000000e+06 2.513007000000000000e+06 4.809753000000000000e+06 1.309123400000000000e+07 1.920479300000000000e+07
