# {'chrom': '1', 'window_id': '1', 'statistic': 'H2_X', 'bounds': [20000000, 40000000], 'span': 20000000, 'n_sites': 11718352, 'coverage': 58.59, 'right_discontinuous': False, 'rows': "{0: 'Altai', 1: 'Chagyrskaya', 2: 'Denisova', 3: 'French-1', 4: 'Han-1', 5: 'Khomani_San-2', 6: 'Papuan-2', 7: 'Vindija', 8: 'Yoruba-1', 9: 'Yoruba-3'}"}
4.880000000000000000e+02 2.310000000000000000e+02 4.150000000000000000e+02 5.280000000000000000e+02 8.760000000000000000e+02 2.071000000000000000e+03 3.096000000000000000e+03 4.116000000000000000e+03 1.003300000000000000e+04 1.199500000000000000e+04 1.256000000000000000e+04 1.850000000000000000e+04 3.302900000000000000e+04 4.672800000000000000e+04 1.286150000000000000e+05 1.492620000000000000e+05 2.502120000000000000e+05 1.016270000000000000e+06 1.568109000000000000e+06
3.820000000000000000e+02 2.030000000000000000e+02 3.310000000000000000e+02 4.270000000000000000e+02 7.200000000000000000e+02 1.665000000000000000e+03 2.541000000000000000e+03 3.251000000000000000e+03 8.299000000000000000e+03 9.192000000000000000e+03 7.407000000000000000e+03 1.185500000000000000e+04 1.161600000000000000e+04 2.207800000000000000e+04 6.616000000000000000e+04 1.108650000000000000e+05 1.747250000000000000e+05 5.949920000000000000e+05 8.960900000000000000e+05
4.100000000000000000e+02 2.480000000000000000e+02 3.800000000000000000e+02 5.060000000000000000e+02 7.810000000000000000e+02 2.184000000000000000e+03 2.564000000000000000e+03 3.026000000000000000e+03 5.634000000000000000e+03 7.245000000000000000e+03 8.342000000000000000e+03 1.322600000000000000e+04 1.605100000000000000e+04 2.453200000000000000e+04 5.852700000000000000e+04 9.124900000000000000e+04 2.580560000000000000e+05 6.722190000000000000e+05 1.211502000000000000e+06
1.495000000000000000e+03 9.470000000000000000e+02 1.824000000000000000e+03 1.927000000000000000e+03 2.906000000000000000e+03 6.656000000000000000e+03 9.719000000000000000e+03 1.548000000000000000e+04 3.432400000000000000e+04 3.656700000000000000e+04 4.449700000000000000e+04 9.659400000000000000e+04 1.192380000000000000e+05 2.344110000000000000e+05 6.298350000000000000e+05 1.038001000000000000e+06 2.323971000000000000e+06 7.122370000000000000e+06 1.332559800000000000e+07
2.312000000000000000e+03 1.567000000000000000e+03 2.080000000000000000e+03 1.717000000000000000e+03 2.444000000000000000e+03 5.990000000000000000e+03 8.413000000000000000e+03 1.381900000000000000e+04 3.412500000000000000e+04 3.938900000000000000e+04 5.016000000000000000e+04 8.662700000000000000e+04 1.183770000000000000e+05 2.054190000000000000e+05 5.144000000000000000e+05 9.367440000000000000e+05 1.908440000000000000e+06 6.352083000000000000e+06 1.256378000000000000e+07
1.836000000000000000e+03 1.188000000000000000e+03 2.421000000000000000e+03 2.716000000000000000e+03 4.361000000000000000e+03 9.274000000000000000e+03 1.312900000000000000e+04 2.064900000000000000e+04 4.558100000000000000e+04 5.173300000000000000e+04 6.896000000000000000e+04 1.458980000000000000e+05 1.939120000000000000e+05 3.744860000000000000e+05 1.158123000000000000e+06 1.897504000000000000e+06 3.845033000000000000e+06 1.310896200000000000e+07 2.571916500000000000e+07
1.706000000000000000e+03 1.071000000000000000e+03 1.879000000000000000e+03 1.901000000000000000e+03 2.997000000000000000e+03 7.033000000000000000e+03 1.018000000000000000e+04 1.753900000000000000e+04 3.879500000000000000e+04 4.865900000000000000e+04 5.799700000000000000e+04 1.032320000000000000e+05 9.557500000000000000e+04 1.930670000000000000e+05 5.220720000000000000e+05 8.997340000000000000e+05 1.943790000000000000e+06 5.832934000000000000e+06 1.142830700000000000e+07
3.880000000000000000e+02 1.650000000000000000e+02 3.860000000000000000e+02 4.580000000000000000e+02 6.860000000000000000e+02 9.460000000000000000e+02 1.239000000000000000e+03 1.633000000000000000e+03 4.035000000000000000e+03 3.067000000000000000e+03 4.289000000000000000e+03 6.247000000000000000e+03 8.630000000000000000e+03 1.329200000000000000e+04 3.917200000000000000e+04 6.181700000000000000e+04 1.311280000000000000e+05 4.334280000000000000e+05 8.717320000000000000e+05
1.310000000000000000e+03 8.780000000000000000e+02 2.050000000000000000e+03 2.398000000000000000e+03 3.648000000000000000e+03 9.009000000000000000e+03 1.207500000000000000e+04 2.008900000000000000e+04 4.261700000000000000e+04 4.636500000000000000e+04 6.153700000000000000e+04 1.326810000000000000e+05 1.657610000000000000e+05 3.309720000000000000e+05 9.972650000000000000e+05 1.753267000000000000e+06 3.485737000000000000e+06 1.130134400000000000e+07 2.223056000000000000e+07
3.342000000000000000e+03 2.107000000000000000e+03 2.918000000000000000e+03 2.956000000000000000e+03 4.784000000000000000e+03 1.191900000000000000e+04 1.580200000000000000e+04 2.445700000000000000e+04 5.523700000000000000e+04 6.282200000000000000e+04 8.175200000000000000e+04 1.824180000000000000e+05 2.361350000000000000e+05 4.502700000000000000e+05 1.286242000000000000e+06 2.197027000000000000e+06 4.701164000000000000e+06 1.503283100000000000e+07 2.893376500000000000e+07
