# {'chrom': '10', 'window_id': '1', 'statistic': 'H2_XY', 'bounds': [20000000, 40000000], 'span': 20000000, 'n_sites': 10327489, 'coverage': 51.64, 'right_discontinuous': True, 'rows': "{0: ('Altai', 'Chagyrskaya'), 1: ('Altai', 'Denisova'), 2: ('Altai', 'French-1'), 3: ('Altai', 'Han-1'), 4: ('Altai', 'Khomani_San-2'), 5: ('Altai', 'Papuan-2'), 6: ('Altai', 'Vindija'), 7: ('Altai', 'Yoruba-1'), 8: ('Altai', 'Yoruba-3'), 9: ('Chagyrskaya', 'Denisova'), 10: ('Chagyrskaya', 'French-1'), 11: ('Chagyrskaya', 'Han-1'), 12: ('Chagyrskaya', 'Khomani_San-2'), 13: ('Chagyrskaya', 'Papuan-2'), 14: ('Chagyrskaya', 'Vindija'), 15: ('Chagyrskaya', 'Yoruba-1'), 16: ('Chagyrskaya', 'Yoruba-3'), 17: ('Denisova', 'French-1'), 18: ('Denisova', 'Han-1'), 19: ('Denisova', 'Khomani_San-2'), 20: ('Denisova', 'Papuan-2'), 21: ('Denisova', 'Vindija'), 22: ('Denisova', 'Yoruba-1'), 23: ('Denisova', 'Yoruba-3'), 24: ('French-1', 'Han-1'), 25: ('French-1', 'Khomani_San-2'), 26: ('French-1', 'Papuan-2'), 27: ('French-1', 'Vindija'), 28: ('French-1', 'Yoruba-1'), 29: ('French-1', 'Yoruba-3'), 30: ('Han-1', 'Khomani_San-2'), 31: ('Han-1', 'Papuan-2'), 32: ('Han-1', 'Vindija'), 33: ('Han-1', 'Yoruba-1'), 34: ('Han-1', 'Yoruba-3'), 35: ('Khomani_San-2', 'Papuan-2'), 36: ('Khomani_San-2', 'Vindija'), 37: ('Khomani_San-2', 'Yoruba-1'), 38: ('Khomani_San-2', 'Yoruba-3'), 39: ('Papuan-2', 'Vindija'), 40: ('Papuan-2', 'Yoruba-1'), 41: ('Papuan-2', 'Yoruba-3'), 42: ('Vindija', 'Yoruba-1'), 43: ('Vindija', 'Yoruba-3'), 44: ('Yoruba-1', 'Yoruba-3')}"}
2.825000000000000000e+02 1.502500000000000000e+02 2.995000000000000000e+02 3.362500000000000000e+02 4.982500000000000000e+02 1.090000000000000000e+03 1.458750000000000000e+03 2.559375000000000000e+03 5.711250000000000000e+03 5.939875000000000000e+03 7.469000000000000000e+03 1.381225000000000000e+04 2.130937500000000000e+04 3.857362500000000000e+04 1.039295000000000000e+05 1.428608750000000000e+05 3.009961250000000000e+05 8.350307500000000000e+05 1.180964625000000000e+06
3.929750000000000000e+03 2.194250000000000000e+03 3.902250000000000000e+03 3.753500000000000000e+03 5.683250000000000000e+03 1.325250000000000000e+04 1.860975000000000000e+04 3.331375000000000000e+04 7.672425000000000000e+04 9.126125000000000000e+04 1.276562500000000000e+05 2.711215000000000000e+05 3.564440000000000000e+05 5.845630000000000000e+05 1.784586250000000000e+06 2.381181250000000000e+06 4.747329250000000000e+06 1.320344800000000000e+07 1.722370850000000000e+07
9.628625000000000000e+03 4.533125000000000000e+03 7.128500000000000000e+03 6.950500000000000000e+03 9.444125000000000000e+03 2.330225000000000000e+04 3.290025000000000000e+04 6.030325000000000000e+04 1.446782500000000000e+05 1.706822500000000000e+05 2.466733750000000000e+05 5.130496250000000000e+05 6.640097500000000000e+05 9.964205000000000000e+05 3.219644750000000000e+06 4.242986000000000000e+06 8.694723125000000000e+06 2.363858525000000000e+07 3.155656937500000000e+07
7.920750000000000000e+03 4.123125000000000000e+03 6.754250000000000000e+03 6.908875000000000000e+03 9.234250000000000000e+03 2.237987500000000000e+04 3.041125000000000000e+04 5.444800000000000000e+04 1.340088750000000000e+05 1.586422500000000000e+05 2.297595000000000000e+05 5.003831250000000000e+05 6.348095000000000000e+05 9.671430000000000000e+05 3.065009250000000000e+06 4.082686375000000000e+06 8.310192875000000000e+06 2.241551712500000000e+07 3.016895512500000000e+07
8.156125000000000000e+03 4.593250000000000000e+03 6.780000000000000000e+03 6.733000000000000000e+03 9.131000000000000000e+03 2.166275000000000000e+04 3.049312500000000000e+04 5.237075000000000000e+04 1.303522500000000000e+05 1.566110000000000000e+05 2.216262500000000000e+05 4.735732500000000000e+05 6.029750000000000000e+05 9.336885625000000000e+05 2.999770000000000000e+06 4.031661375000000000e+06 8.051218250000000000e+06 2.248767337500000000e+07 2.947840312500000000e+07
6.985625000000000000e+03 4.100875000000000000e+03 7.003000000000000000e+03 6.945500000000000000e+03 9.250250000000000000e+03 2.220362500000000000e+04 3.097450000000000000e+04 5.453537500000000000e+04 1.328468750000000000e+05 1.562792500000000000e+05 2.256813750000000000e+05 4.693927500000000000e+05 6.187850000000000000e+05 9.601511250000000000e+05 3.065022750000000000e+06 4.061486000000000000e+06 8.316531875000000000e+06 2.266200231250000000e+07 3.006019887500000000e+07
8.132500000000000000e+02 4.695000000000000000e+02 4.570000000000000000e+02 4.475000000000000000e+02 5.947500000000000000e+02 1.403750000000000000e+03 2.599750000000000000e+03 3.723250000000000000e+03 8.013000000000000000e+03 7.725750000000000000e+03 1.148975000000000000e+04 2.466937500000000000e+04 3.083150000000000000e+04 5.079800000000000000e+04 1.474906250000000000e+05 2.046986250000000000e+05 4.206993750000000000e+05 1.207032625000000000e+06 1.633564000000000000e+06
8.039000000000000000e+03 4.510750000000000000e+03 6.857750000000000000e+03 6.877375000000000000e+03 9.050500000000000000e+03 2.173037500000000000e+04 3.041025000000000000e+04 5.032525000000000000e+04 1.269057500000000000e+05 1.601496250000000000e+05 2.258338750000000000e+05 5.005628750000000000e+05 6.252150000000000000e+05 9.637670625000000000e+05 3.094528125000000000e+06 4.145511562500000000e+06 8.260865562500000000e+06 2.288514250000000000e+07 3.001185687500000000e+07
8.434500000000000000e+03 4.146750000000000000e+03 6.192625000000000000e+03 6.177250000000000000e+03 9.079625000000000000e+03 2.254825000000000000e+04 2.967400000000000000e+04 5.166600000000000000e+04 1.306336250000000000e+05 1.582236250000000000e+05 2.329216250000000000e+05 5.039603750000000000e+05 6.351136250000000000e+05 9.826120000000000000e+05 3.088386625000000000e+06 4.238829750000000000e+06 8.400516125000000000e+06 2.309397900000000000e+07 3.078666025000000000e+07
3.966500000000000000e+03 2.220750000000000000e+03 3.991250000000000000e+03 3.872250000000000000e+03 5.870750000000000000e+03 1.358025000000000000e+04 1.883050000000000000e+04 3.405625000000000000e+04 7.814650000000000000e+04 9.311725000000000000e+04 1.303427500000000000e+05 2.785647500000000000e+05 3.680475000000000000e+05 6.020375000000000000e+05 1.851915000000000000e+06 2.459203750000000000e+06 4.834950250000000000e+06 1.366673150000000000e+07 1.768172075000000000e+07
9.740500000000000000e+03 4.640000000000000000e+03 7.357250000000000000e+03 7.185750000000000000e+03 9.773125000000000000e+03 2.391275000000000000e+04 3.353525000000000000e+04 6.156287500000000000e+04 1.467230000000000000e+05 1.738942500000000000e+05 2.510043750000000000e+05 5.267140000000000000e+05 6.811492500000000000e+05 1.021954250000000000e+06 3.317274500000000000e+06 4.335541500000000000e+06 8.894238375000000000e+06 2.409988750000000000e+07 3.193481281250000000e+07
8.085000000000000000e+03 4.251125000000000000e+03 7.025000000000000000e+03 7.116375000000000000e+03 9.641125000000000000e+03 2.315975000000000000e+04 3.128525000000000000e+04 5.577812500000000000e+04 1.362850000000000000e+05 1.626917500000000000e+05 2.334923750000000000e+05 5.137721250000000000e+05 6.572942500000000000e+05 9.928446250000000000e+05 3.181544625000000000e+06 4.169034500000000000e+06 8.470110375000000000e+06 2.279677537500000000e+07 3.060247575000000000e+07
8.271500000000000000e+03 4.678250000000000000e+03 6.997750000000000000e+03 6.994000000000000000e+03 9.523500000000000000e+03 2.243450000000000000e+04 3.115100000000000000e+04 5.367850000000000000e+04 1.329975000000000000e+05 1.606770000000000000e+05 2.255202500000000000e+05 4.861405000000000000e+05 6.190110000000000000e+05 9.593650000000000000e+05 3.112420250000000000e+06 4.158911000000000000e+06 8.286617750000000000e+06 2.317692025000000000e+07 3.036519950000000000e+07
7.141000000000000000e+03 4.214250000000000000e+03 7.293125000000000000e+03 7.193250000000000000e+03 9.661250000000000000e+03 2.297762500000000000e+04 3.169812500000000000e+04 5.600100000000000000e+04 1.353688750000000000e+05 1.604981250000000000e+05 2.304528750000000000e+05 4.825632500000000000e+05 6.380345000000000000e+05 9.910401250000000000e+05 3.173537875000000000e+06 4.188627875000000000e+06 8.532914875000000000e+06 2.336171712500000000e+07 3.087862237500000000e+07
7.803750000000000000e+02 4.415000000000000000e+02 4.045000000000000000e+02 3.512500000000000000e+02 4.767500000000000000e+02 1.172000000000000000e+03 2.212000000000000000e+03 2.827625000000000000e+03 5.738250000000000000e+03 5.903625000000000000e+03 8.207000000000000000e+03 1.995975000000000000e+04 2.036662500000000000e+04 3.396887500000000000e+04 1.123707500000000000e+05 1.473707500000000000e+05 2.798301250000000000e+05 8.365106250000000000e+05 1.211502625000000000e+06
