# {'chrom': '13', 'window_id': '2', 'statistic': 'H2_XY', 'bounds': [58000000, 77000000], 'span': 19000000, 'n_sites': 12598220, 'coverage': 66.31, 'right_discontinuous': False, 'rows': "{0: ('Altai', 'Chagyrskaya'), 1: ('Altai', 'Denisova'), 2: ('Altai', 'French-1'), 3: ('Altai', 'Han-1'), 4: ('Altai', 'Khomani_San-2'), 5: ('Altai', 'Papuan-2'), 6: ('Altai', 'Vindija'), 7: ('Altai', 'Yoruba-1'), 8: ('Altai', 'Yoruba-3'), 9: ('Chagyrskaya', 'Denisova'), 10: ('Chagyrskaya', 'French-1'), 11: ('Chagyrskaya', 'Han-1'), 12: ('Chagyrskaya', 'Khomani_San-2'), 13: ('Chagyrskaya', 'Papuan-2'), 14: ('Chagyrskaya', 'Vindija'), 15: ('Chagyrskaya', 'Yoruba-1'), 16: ('Chagyrskaya', 'Yoruba-3'), 17: ('Denisova', 'French-1'), 18: ('Denisova', 'Han-1'), 19: ('Denisova', 'Khomani_San-2'), 20: ('Denisova', 'Papuan-2'), 21: ('Denisova', 'Vindija'), 22: ('Denisova', 'Yoruba-1'), 23: ('Denisova', 'Yoruba-3'), 24: ('French-1', 'Han-1'), 25: ('French-1', 'Khomani_San-2'), 26: ('French-1', 'Papuan-2'), 27: ('French-1', 'Vindija'), 28: ('French-1', 'Yoruba-1'), 29: ('French-1', 'Yoruba-3'), 30: ('Han-1', 'Khomani_San-2'), 31: ('Han-1', 'Papuan-2'), 32: ('Han-1', 'Vindija'), 33: ('Han-1', 'Yoruba-1'), 34: ('Han-1', 'Yoruba-3'), 35: ('Khomani_San-2', 'Papuan-2'), 36: ('Khomani_San-2', 'Vindija'), 37: ('Khomani_San-2', 'Yoruba-1'), 38: ('Khomani_San-2', 'Yoruba-3'), 39: ('Papuan-2', 'Vindija'), 40: ('Papuan-2', 'Yoruba-1'), 41: ('Papuan-2', 'Yoruba-3'), 42: ('Vindija', 'Yoruba-1'), 43: ('Vindija', 'Yoruba-3'), 44: ('Yoruba-1', 'Yoruba-3')}"}
1.047250000000000000e+03 5.382500000000000000e+02 9.080000000000000000e+02 9.321250000000000000e+02 1.324875000000000000e+03 2.663000000000000000e+03 4.495125000000000000e+03 7.016000000000000000e+03 1.505062500000000000e+04 1.932762500000000000e+04 2.592400000000000000e+04 5.460112500000000000e+04 5.425312500000000000e+04 8.359487500000000000e+04 2.546932500000000000e+05 4.424320000000000000e+05 9.503470000000000000e+05 2.493546125000000000e+06 3.670261375000000000e+06
5.139750000000000000e+03 3.205500000000000000e+03 6.225250000000000000e+03 6.733750000000000000e+03 9.154000000000000000e+03 2.030800000000000000e+04 2.841850000000000000e+04 4.639450000000000000e+04 1.180115000000000000e+05 1.466680000000000000e+05 2.224727500000000000e+05 5.173642500000000000e+05 6.398030000000000000e+05 1.264266500000000000e+06 3.710946000000000000e+06 6.128850750000000000e+06 1.202358800000000000e+07 3.400961200000000000e+07 5.508003050000000000e+07
9.253875000000000000e+03 5.130000000000000000e+03 8.218250000000000000e+03 8.773000000000000000e+03 1.160087500000000000e+04 2.610137500000000000e+04 4.032150000000000000e+04 6.850437500000000000e+04 1.662315000000000000e+05 2.103772500000000000e+05 3.289427500000000000e+05 7.390262500000000000e+05 9.657887500000000000e+05 1.785919750000000000e+06 5.650497750000000000e+06 8.746899250000000000e+06 1.732527600000000000e+07 4.982718343750000000e+07 7.639353331250000000e+07
1.086275000000000000e+04 5.038000000000000000e+03 8.336125000000000000e+03 8.862500000000000000e+03 1.208312500000000000e+04 2.867787500000000000e+04 4.208962500000000000e+04 7.200325000000000000e+04 1.742760000000000000e+05 2.170905000000000000e+05 3.391105000000000000e+05 7.796790000000000000e+05 1.004292250000000000e+06 1.951629250000000000e+06 6.050258125000000000e+06 9.398428875000000000e+06 1.849219012500000000e+07 5.357706918750000000e+07 8.290782312500000000e+07
9.885750000000000000e+03 5.294500000000000000e+03 8.310875000000000000e+03 9.416500000000000000e+03 1.273400000000000000e+04 2.978062500000000000e+04 4.285575000000000000e+04 7.119900000000000000e+04 1.774280000000000000e+05 2.221048750000000000e+05 3.381712500000000000e+05 7.851293750000000000e+05 1.018312875000000000e+06 1.923186750000000000e+06 5.974860500000000000e+06 9.352797500000000000e+06 1.844143837500000000e+07 5.380746206250000000e+07 8.283194275000000000e+07
1.108250000000000000e+04 4.833250000000000000e+03 8.381500000000000000e+03 8.962000000000000000e+03 1.227725000000000000e+04 2.918550000000000000e+04 4.221775000000000000e+04 7.133525000000000000e+04 1.710822500000000000e+05 2.105000000000000000e+05 3.350797500000000000e+05 7.751187500000000000e+05 9.962815000000000000e+05 1.863776250000000000e+06 5.964019250000000000e+06 9.101173250000000000e+06 1.836620075000000000e+07 5.290743200000000000e+07 8.159934750000000000e+07
7.441250000000000000e+02 3.963750000000000000e+02 7.031250000000000000e+02 8.176250000000000000e+02 1.103375000000000000e+03 2.493625000000000000e+03 3.505375000000000000e+03 5.980375000000000000e+03 1.298662500000000000e+04 1.462100000000000000e+04 2.316025000000000000e+04 5.261787500000000000e+04 5.590837500000000000e+04 9.144712500000000000e+04 2.556515000000000000e+05 4.846354375000000000e+05 9.753966875000000000e+05 2.417580062500000000e+06 3.407205000000000000e+06
1.168187500000000000e+04 5.250875000000000000e+03 8.701750000000000000e+03 9.422500000000000000e+03 1.271987500000000000e+04 2.996825000000000000e+04 4.335612500000000000e+04 7.404950000000000000e+04 1.803832500000000000e+05 2.187666250000000000e+05 3.382942500000000000e+05 8.012954375000000000e+05 1.028943625000000000e+06 1.942663500000000000e+06 6.143615875000000000e+06 9.564065625000000000e+06 1.887033412500000000e+07 5.535437587500000000e+07 8.538916462500000000e+07
9.881625000000000000e+03 5.270125000000000000e+03 8.839125000000000000e+03 9.280625000000000000e+03 1.253800000000000000e+04 2.986375000000000000e+04 4.263600000000000000e+04 7.040562500000000000e+04 1.799070000000000000e+05 2.250700000000000000e+05 3.367657500000000000e+05 7.753242500000000000e+05 1.008503250000000000e+06 1.935440125000000000e+06 6.127523000000000000e+06 9.310869687500000000e+06 1.851284818750000000e+07 5.451696443750000000e+07 8.471462831250000000e+07
5.745750000000000000e+03 3.604000000000000000e+03 6.694000000000000000e+03 7.124250000000000000e+03 9.673750000000000000e+03 2.141600000000000000e+04 3.048300000000000000e+04 4.939000000000000000e+04 1.231027500000000000e+05 1.568020000000000000e+05 2.338942500000000000e+05 5.379852500000000000e+05 6.626332500000000000e+05 1.294105000000000000e+06 3.914045250000000000e+06 6.330309000000000000e+06 1.251043450000000000e+07 3.537987125000000000e+07 5.705307437500000000e+07
